;;;t;V in;V out
;;;-0,000021;4,88;
;;;-0,00002098;4,92;
;;;-0,00002096;4,88;
;;;-0,00002094;4,88;
;;;-0,00002092;4,88;
;;;-0,0000209;4,88;
;;;-0,00002088;4,88;
;;;-0,00002086;4,88;
;;;-0,00002084;4,92;
;;;-0,00002082;4,92;
;;;-0,0000208;4,88;
;;;-0,00002078;4,88;
;;;-0,00002076;4,88;
;;;-0,00002074;4,88;
;;;-0,00002072;4,92;
;;;-0,0000207;4,84;
;;;-0,00002068;4,88;
;;;-0,00002066;4,88;
;;;-0,00002064;4,88;
;;;-0,00002062;4,84;
;;;-0,0000206;4,88;
;;;-0,00002058;4,92;
;;;-0,00002056;4,84;
;;;-0,00002054;4,84;
;;;-0,00002052;4,84;
;;;-0,0000205;4,88;
;;;-0,00002048;4,84;
;;;-0,00002046;4,84;
;;;-0,00002044;4,88;
;;;-0,00002042;4,84;
;;;-0,0000204;4,88;
;;;-0,00002038;4,88;
;;;-0,00002036;4,84;
;;;-0,00002034;4,84;
;;;-0,00002032;4,84;
;;;-0,0000203;4,84;
;;;-0,00002028;4,84;
;;;-0,00002026;4,88;
;;;-0,00002024;4,88;
;;;-0,00002022;4,88;
;;;-0,0000202;4,84;
;;;-0,00002018;4,88;
;;;-0,00002016;4,88;
;;;-0,00002014;4,84;
;;;-0,00002012;4,84;
;;;-0,0000201;4,84;
;;;-0,00002008;4,84;
;;;-0,00002006;4,92;
;;;-0,00002004;4,88;
;;;-0,00002002;4,8;
;;;-0,00002;4,88;
;;;-0,00001998;4,84;
;;;-0,00001996;4,88;
;;;-0,00001994;4,88;
;;;-0,00001992;4,84;
;;;-0,0000199;4,88;
;;;-0,00001988;4,88;
;;;-0,00001986;4,84;
;;;-0,00001984;4,84;
;;;-0,00001982;4,8;
;;;-0,0000198;4,8;
;;;-0,00001978;4,84;
;;;-0,00001976;4,8;
;;;-0,00001974;4,84;
;;;-0,00001972;4,84;
;;;-0,0000197;4,84;
;;;-0,00001968;4,8;
;;;-0,00001966;4,84;
;;;-0,00001964;4,84;
;;;-0,00001962;4,84;
;;;-0,0000196;4,84;
;;;-0,00001958;4,8;
;;;-0,00001956;4,84;
;;;-0,00001954;4,84;
;;;-0,00001952;4,84;
;;;-0,0000195;4,8;
;;;-0,00001948;4,8;
;;;-0,00001946;4,84;
;;;-0,00001944;4,84;
;;;-0,00001942;4,88;
;;;-0,0000194;4,84;
;;;-0,00001938;4,84;
;;;-0,00001936;4,84;
