;;;t;Vin;Vout
;;;-0,000153;0,9792;0,06691
;;;-0,0001528;0,9792;0,06822
;;;-0,0001526;1,0064;0,06691
;;;-0,0001524;1,0064;0,0656
;;;-0,0001522;1,0064;0,06822
;;;-0,000152;1,0064;0,0656
;;;-0,0001518;1,0064;0,06691
;;;-0,0001516;1,0336;0,06691
;;;-0,0001514;1,0064;0,0656
;;;-0,0001512;1,0064;0,0656
;;;-0,000151;1,0064;0,0656
;;;-0,0001508;1,0064;0,06429
;;;-0,0001506;0,9792;0,06822
;;;-0,0001504;0,9792;0,06298
;;;-0,0001502;0,9792;0,0656
;;;-0,00015;1,0064;0,0656
;;;-0,0001498;1,0336;0,06691
;;;-0,0001496;1,0064;0,0656
;;;-0,0001494;1,0064;0,0656
;;;-0,0001492;1,0336;0,06298
;;;-0,000149;1,0336;0,06298
;;;-0,0001488;1,0336;0,06429
;;;-0,0001486;1,0608;0,06691
;;;-0,0001484;1,0336;0,06298
;;;-0,0001482;1,088;0,06166
;;;-0,000148;1,0336;0,06298
;;;-0,0001478;1,0336;0,06035
;;;-0,0001476;1,0336;0,06166
;;;-0,0001474;1,0336;0,06429
;;;-0,0001472;1,0608;0,06298
;;;-0,000147;1,0336;0,06298
;;;-0,0001468;1,0336;0,06166
;;;-0,0001466;1,088;0,06429
;;;-0,0001464;1,0064;0,06298
;;;-0,0001462;1,0608;0,06166
;;;-0,000146;1,0608;0,06035
;;;-0,0001458;0,9792;0,06298
;;;-0,0001456;1,0336;0,06035
;;;-0,0001454;1,088;0,06166
;;;-0,0001452;1,0336;0,06035
;;;-0,000145;1,088;0,06166
;;;-0,0001448;1,088;0,06166
;;;-0,0001446;1,0608;0,06166
;;;-0,0001444;1,0064;0,06035
;;;-0,0001442;1,088;0,06166
;;;-0,000144;1,088;0,06035
;;;-0,0001438;1,088;0,05904
;;;-0,0001436;1,088;0,06035
;;;-0,0001434;1,0608;0,05904
;;;-0,0001432;1,088;0,05904
;;;-0,000143;1,088;0,06035
;;;-0,0001428;1,0336;0,05904
;;;-0,0001426;1,0608;0,06035
;;;-0,0001424;1,088;0,06035
;;;-0,0001422;1,1152;0,05773
;;;-0,000142;1,1152;0,05904
;;;-0,0001418;1,0064;0,05904
;;;-0,0001416;1,088;0,05773
;;;-0,0001414;1,1152;0,05773
;;;-0,0001412;1,1152;0,05773
;;;-0,000141;1,0608;0,05904
;;;-0,0001408;1,1152;0,05904
;;;-0,0001406;1,088;0,05642
;;;-0,0001404;1,088;0,05773
;;;-0,0001402;1,0608;0,05642
;;;-0,00014;1,0608;0,05642
;;;-0,0001398;1,088;0,05773
;;;-0,0001396;1,088;0,05773
;;;-0,0001394;1,088;0,05773
;;;-0,0001392;1,1152;0,05904
;;;-0,000139;1,088;0,05642
;;;-0,0001388;1,1152;0,05904
;;;-0,0001386;1,1152;0,05642
;;;-0,0001384;1,0336;0,0551
