;;;t;Vin;Vout
;;;-0,0000237;0,504;4,92
;;;-0,00002368;0,496;4,92
;;;-0,00002366;0,504;4,92
;;;-0,00002364;0,496;4,92
;;;-0,00002362;0,504;4,96
;;;-0,0000236;0,504;4,96
;;;-0,00002358;0,504;4,92
;;;-0,00002356;0,504;4,92
;;;-0,00002354;0,504;4,92
;;;-0,00002352;0,504;4,96
;;;-0,0000235;0,504;4,92
;;;-0,00002348;0,496;4,96
;;;-0,00002346;0,496;4,92
;;;-0,00002344;0,496;4,96
;;;-0,00002342;0,504;4,96
;;;-0,0000234;0,504;4,92
;;;-0,00002338;0,496;4,92
;;;-0,00002336;0,52;4,92
;;;-0,00002334;0,504;4,88
;;;-0,00002332;0,504;4,96
;;;-0,0000233;0,496;5
;;;-0,00002328;0,504;4,88
;;;-0,00002326;0,496;4,88
;;;-0,00002324;0,504;4,92
;;;-0,00002322;0,504;4,92
;;;-0,0000232;0,504;4,96
;;;-0,00002318;0,504;4,96
;;;-0,00002316;0,496;4,92
;;;-0,00002314;0,504;4,96
;;;-0,00002312;0,512;4,92
;;;-0,0000231;0,512;4,92
;;;-0,00002308;0,504;4,96
;;;-0,00002306;0,512;4,92
;;;-0,00002304;0,504;4,92
;;;-0,00002302;0,512;4,92
;;;-0,000023;0,504;4,96
;;;-0,00002298;0,512;4,92
;;;-0,00002296;0,512;4,96
;;;-0,00002294;0,512;4,92
;;;-0,00002292;0,512;4,96
;;;-0,0000229;0,504;4,92
;;;-0,00002288;0,512;4,96
;;;-0,00002286;0,512;4,88
;;;-0,00002284;0,504;4,92
;;;-0,00002282;0,512;4,96
;;;-0,0000228;0,504;4,92
;;;-0,00002278;0,504;4,96
;;;-0,00002276;0,512;4,92
;;;-0,00002274;0,504;4,92
;;;-0,00002272;0,52;4,92
;;;-0,0000227;0,504;4,96
;;;-0,00002268;0,512;4,92
;;;-0,00002266;0,512;4,92
;;;-0,00002264;0,504;4,92
;;;-0,00002262;0,512;4,92
;;;-0,0000226;0,504;4,92
;;;-0,00002258;0,512;4,96
;;;-0,00002256;0,512;4,96
;;;-0,00002254;0,504;5
;;;-0,00002252;0,512;4,88
;;;-0,0000225;0,504;4,88
;;;-0,00002248;0,52;4,92
;;;-0,00002246;0,52;4,92
;;;-0,00002244;0,512;4,92
;;;-0,00002242;0,512;4,92
;;;-0,0000224;0,512;4,92
;;;-0,00002238;0,504;4,92
;;;-0,00002236;0,512;4,88
;;;-0,00002234;0,512;4,96
;;;-0,00002232;0,512;4,88
;;;-0,0000223;0,512;4,88
;;;-0,00002228;0,528;4,92
;;;-0,00002226;0,52;4,92
;;;-0,00002224;0,512;4,92
;;;-0,00002222;0,52;4,92
;;;-0,0000222;0,52;4,88
;;;-0,00002218;0,52;4,92
;;;-0,00002216;0,528;4,92
;;;-0,00002214;0,512;4,88
;;;-0,00002212;0,512;4,92
;;;-0,0000221;0,528;4,88
;;;-0,00002208;0,512;4,88
;;;-0,00002206;0,512;4,88
;;;-0,00002204;0,512;4,96
;;;-0,00002202;0,512;4,92
;;;-0,000022;0,512;4,92
;;;-0,00002198;0,52;4,96
;;;-0,00002196;0,52;4,88
;;;-0,00002194;0,512;4,92
;;;-0,00002192;0,52;4,92
;;;-0,0000219;0,512;4,88
;;;-0,00002188;0,512;4,92
;;;-0,00002186;0,52;4,92
;;;-0,00002184;0,52;4,92
;;;-0,00002182;0,528;4,92
;;;-0,0000218;0,512;4,92
;;;-0,00002178;0,528;4,96
;;;-0,00002176;0,512;4,88
;;;-0,00002174;0,52;4,88
;;;-0,00002172;0,528;4,88
;;;-0,0000217;0,512;4,92
;;;-0,00002168;0,512;4,88
;;;-0,00002166;0,512;4,92
;;;-0,00002164;0,512;4,92
;;;-0,00002162;0,528;4,88
;;;-0,0000216;0,52;4,88
;;;-0,00002158;0,512;4,92
;;;-0,00002156;0,528;4,92
;;;-0,00002154;0,512;4,96
;;;-0,00002152;0,52;4,88
;;;-0,0000215;0,52;4,92
;;;-0,00002148;0,52;4,92
;;;-0,00002146;0,52;4,92
;;;-0,00002144;0,536;4,88
;;;-0,00002142;0,52;4,88
;;;-0,0000214;0,52;4,88
;;;-0,00002138;0,52;4,92
;;;-0,00002136;0,52;4,92
;;;-0,00002134;0,52;4,92
;;;-0,00002132;0,528;4,84
;;;-0,0000213;0,512;4,88
;;;-0,00002128;0,52;4,84
;;;-0,00002126;0,528;4,84
;;;-0,00002124;0,528;4,92
;;;-0,00002122;0,52;4,92
;;;-0,0000212;0,512;4,92
;;;-0,00002118;0,52;4,88
;;;-0,00002116;0,52;4,88
;;;-0,00002114;0,52;4,88
;;;-0,00002112;0,52;4,88
