;;;t;Vin;Vout
;;;-0,0001622;3,444;-0,864
;;;-0,000162;3,444;-0,864
;;;-0,0001618;3,444;-0,864
;;;-0,0001616;3,444;-0,864
;;;-0,0001614;3,444;-0,864
;;;-0,0001612;3,444;-0,864
;;;-0,000161;3,444;-0,864
;;;-0,0001608;3,444;-0,848
;;;-0,0001606;3,444;-0,848
;;;-0,0001604;3,416;-0,848
;;;-0,0001602;3,444;-0,848
;;;-0,00016;3,416;-0,848
;;;-0,0001598;3,416;-0,848
;;;-0,0001596;3,416;-0,848
;;;-0,0001594;3,416;-0,848
;;;-0,0001592;3,416;-0,848
;;;-0,000159;3,416;-0,848
;;;-0,0001588;3,416;-0,848
;;;-0,0001586;3,416;-0,848
;;;-0,0001584;3,416;-0,848
;;;-0,0001582;3,416;-0,848
;;;-0,000158;3,416;-0,848
;;;-0,0001578;3,416;-0,848
;;;-0,0001576;3,416;-0,832
;;;-0,0001574;3,416;-0,832
;;;-0,0001572;3,416;-0,832
;;;-0,000157;3,388;-0,832
;;;-0,0001568;3,388;-0,832
;;;-0,0001566;3,388;-0,832
;;;-0,0001564;3,388;-0,832
;;;-0,0001562;3,388;-0,832
;;;-0,000156;3,388;-0,832
;;;-0,0001558;3,388;-0,832
;;;-0,0001556;3,388;-0,832
;;;-0,0001554;3,388;-0,832
;;;-0,0001552;3,388;-0,832
;;;-0,000155;3,388;-0,832
;;;-0,0001548;3,388;-0,832
;;;-0,0001546;3,388;-0,832
;;;-0,0001544;3,388;-0,816
;;;-0,0001542;3,388;-0,832
;;;-0,000154;3,388;-0,816
;;;-0,0001538;3,388;-0,816
;;;-0,0001536;3,36;-0,816
;;;-0,0001534;3,36;-0,816
;;;-0,0001532;3,36;-0,816
;;;-0,000153;3,36;-0,816
;;;-0,0001528;3,36;-0,816
;;;-0,0001526;3,36;-0,816
;;;-0,0001524;3,36;-0,816
;;;-0,0001522;3,36;-0,816
;;;-0,000152;3,36;-0,816
;;;-0,0001518;3,36;-0,816
;;;-0,0001516;3,36;-0,816
;;;-0,0001514;3,36;-0,816
;;;-0,0001512;3,36;-0,816
;;;-0,000151;3,36;-0,8
;;;-0,0001508;3,36;-0,8
;;;-0,0001506;3,36;-0,8
;;;-0,0001504;3,36;-0,8
;;;-0,0001502;3,332;-0,8
;;;-0,00015;3,332;-0,8
;;;-0,0001498;3,332;-0,8
;;;-0,0001496;3,332;-0,8
;;;-0,0001494;3,332;-0,8
;;;-0,0001492;3,332;-0,8
;;;-0,000149;3,332;-0,8
;;;-0,0001488;3,332;-0,8
;;;-0,0001486;3,332;-0,8
;;;-0,0001484;3,332;-0,8
;;;-0,0001482;3,332;-0,8
;;;-0,000148;3,332;-0,8
;;;-0,0001478;3,332;-0,8
;;;-0,0001476;3,332;-0,784
;;;-0,0001474;3,332;-0,784
;;;-0,0001472;3,332;-0,784
;;;-0,000147;3,332;-0,784
;;;-0,0001468;3,304;-0,784
;;;-0,0001466;3,304;-0,784
;;;-0,0001464;3,304;-0,784
;;;-0,0001462;3,304;-0,784
;;;-0,000146;3,304;-0,784
;;;-0,0001458;3,304;-0,784
;;;-0,0001456;3,304;-0,784
;;;-0,0001454;3,304;-0,784
;;;-0,0001452;3,304;-0,784
;;;-0,000145;3,304;-0,784
;;;-0,0001448;3,304;-0,784
;;;-0,0001446;3,304;-0,784
;;;-0,0001444;3,304;-0,784
;;;-0,0001442;3,304;-0,768
;;;-0,000144;3,304;-0,768
;;;-0,0001438;3,304;-0,768
;;;-0,0001436;3,304;-0,768
;;;-0,0001434;3,304;-0,768
;;;-0,0001432;3,276;-0,768
;;;-0,000143;3,276;-0,768
;;;-0,0001428;3,276;-0,768
;;;-0,0001426;3,276;-0,768
;;;-0,0001424;3,276;-0,768
;;;-0,0001422;3,276;-0,768
;;;-0,000142;3,276;-0,768
;;;-0,0001418;3,276;-0,768
;;;-0,0001416;3,276;-0,768
;;;-0,0001414;3,276;-0,768
;;;-0,0001412;3,276;-0,752
;;;-0,000141;3,276;-0,752
;;;-0,0001408;3,276;-0,752
;;;-0,0001406;3,276;-0,752
;;;-0,0001404;3,276;-0,752
;;;-0,0001402;3,276;-0,752
;;;-0,00014;3,248;-0,752
;;;-0,0001398;3,276;-0,752
;;;-0,0001396;3,248;-0,752
;;;-0,0001394;3,248;-0,752
;;;-0,0001392;3,248;-0,752
;;;-0,000139;3,248;-0,752
;;;-0,0001388;3,248;-0,752
;;;-0,0001386;3,248;-0,752
;;;-0,0001384;3,248;-0,752
;;;-0,0001382;3,248;-0,752
;;;-0,000138;3,248;-0,752
;;;-0,0001378;3,248;-0,736
;;;-0,0001376;3,248;-0,736
;;;-0,0001374;3,248;-0,736
;;;-0,0001372;3,248;-0,736
;;;-0,000137;3,248;-0,736
;;;-0,0001368;3,248;-0,736
;;;-0,0001366;3,22;-0,736
;;;-0,0001364;3,248;-0,736
;;;-0,0001362;3,22;-0,736
;;;-0,000136;3,22;-0,736
;;;-0,0001358;3,22;-0,736
